"","sorted_reads_SRR14114310.bam"
"100503580",0
"100503582",0
"100503583",9
"100503584",2
"100503592",12
"100503594",8
"100503595",7
"100503600",9
"100503605",1532
"100503609",20
"100503613",3
"100503619",3
"100503620",65
"100503622",16
"100503630",0
"100503632",32
"100503636",51
"100503652",3
"100503659",6224
"100503670",224
"100503676",7
"100503690",13
"100503704",24
"100503710",6
"100503727",0
"100503733",0
"100503743",0
"100503751",0
"100503754",17
"100503759",4
"100503783",12
"100503790",10
"100503794",0
"100503799",80
"100503802",1556
"100503808",0
"100503810",2
"100503812",4
"100503816",0
"100503823",72
"100503827",8
"100503830",41
"100503831",3
"100503842",52
"100503849",113
"100503856",0
"100503859",22
"100503866",2
"100503868",32
"100503869",53
"100503872",0
"100503879",0
"100503882",1
"100503884",1776
"100503890",313
"100503895",0
"100503901",0
"100503908",0
"100503915",5
"100503923",0
"100503924",16
"100503949",113
"100503961",2
"100503962",64
"100503964",0
"100503965",0
"100503969",0
"100503970",0
"100503991",2
"100503992",0
"100503999",1
"100504007",9
"100504014",0
"100504018",0
"100504026",3
"100504029",16
"100504049",37
"100504056",22
"100504061",2
"100504069",1
"100504070",0
"100504089",456
"100504101",112
"100504104",9
"100504112",27
"100504114",37
"100504116",446
"100504121",11
"100504140",6
"100504141",20
"100504145",0
"100504154",1
"100504156",25
"100504162",2
"100504164",0
"100504166",191
"100504169",0
"100504177",7
"100504178",8
"100504180",0
"100504183",0
"100504184",0
"100504191",36
"100504200",17
"100504202",6
"100504207",0
"100504221",35
"100504231",8
"100504232",0
"100504234",21
"100504235",0
"100504239",1
"100504249",2
"100504255",0
"100504262",69
"100504263",676
"100504265",1
"100504267",11
"100504268",0
"100504283",4
"100504285",63
"100504291",13
"100504292",0
"100504304",2
"100504308",3
"100504309",20
"100504312",17
"100504323",3
"100504325",442
"100504333",0
"100504346",0
"100504347",5
"100504350",149
"100504360",26
"100504361",13
"100504375",3
"100504377",0
"100504399",0
"100504400",0
"100504404",4
"100504412",62
"100504421",71
"100504425",34
"100504429",0
"100504444",0
"100504446",5
"100504454",0
"100504455",40
"100504457",1
"100504461",0
"100504464",1
"100504467",34
"100504474",2
"100504477",2
"100504486",33
"100504488",14
"100504491",58
"100504493",0
"100504501",10
"100504512",12
"100504518",11
"100504525",0
"100504539",1
"100504549",1
"100504561",17
"100504568",13
"100504586",0
"100504589",9
"100504591",0
"100504594",0
"100504601",63
"100504608",2
"100504616",14
"100504626",25
"100504628",0
"100504632",4364
"100504637",3
"100504641",25
"100504642",0
"100504652",0
"100504653",1
"100504661",6
"100504663",569
"100504675",1
"100504687",179
"100504689",0
"100504692",1
"100504701",0
"100504703",13
"100504710",19
"100504714",11
"100504715",475
"100504717",1
"100504720",3
"100504727",1
"100504728",0
"100504733",2
"100504734",30
"100504740",9
"100505025",22
"100505034",175
"100505096",0
"100505386",2
"100505397",36
"100515",454
"100526460",0
"100526461",15
"100526462",0
"100526463",1
"100526464",0
"100526465",0
"100526466",3
"100526467",33
"100526468",0
"100526469",143
"100526470",0
"100526471",0
"100526472",0
"100526473",0
"100526474",0
"100526475",0
"100526476",0
"100526477",0
"100526478",0
"100526479",0
"100526480",0
"100526481",0
"100526482",0
"100526483",0
"100526485",0
"100526486",0
"100526488",0
"100526489",0
"100526490",0
"100526491",0
"100526492",0
"100526494",0
"100526495",0
"100526496",0
"100526497",0
"100526498",0
"100526499",0
"100526500",0
"100526501",0
"100526502",0
"100526504",1
"100526505",4
"100526506",1
"100526507",0
"100526508",0
"100526509",0
"100526510",0
"100526511",0
"100526512",0
"100526513",0
"100526514",0
"100526515",0
"100526516",0
"100526517",0
"100526518",0
"100526519",0
"100526520",0
"100526521",0
"100526524",0
"100526525",0
"100526526",18
"100526527",0
"100526528",0
"100526529",0
"100526530",0
"100526531",0
"100526532",0
"100526533",0
"100526534",0
"100526535",0
"100526536",0
"100526538",0
"100526539",0
"100526540",3
"100526541",1
"100526542",0
"100526543",0
"100526544",0
"100526545",0
"100526546",3
"100526547",0
"100526548",1
"100526549",0
"100526550",0
"100526552",0
"100526553",0
"100526554",0
"100526555",0
"100526556",0
"100526557",0
"100526558",1
"100526559",0
"100526560",0
"100526561",0
"100526562",0
"100526796",0
"100529074",0
"100529075",1
"100529076",10
"100529077",11
"100529079",8
"100529082",4
"100532",454
"100532730",33
"100534273",0
"100534279",0
"100534287",313
"100534296",6
"100534633",0
"100535",1
"100554",0
"100559",0
"100561",445
"100568458",0
"100568459",101592
"100579137",0
"100579147",1
"100579149",0
"100579151",0
"100604",984
"100608",433
"100609",137
"100616095",30
"100628567",0
"100628568",0
"100628570",0
"100628571",5
"100628572",0
